,Water,Earth,Fire
aang,0,0,0
actor iroh,-1,-1,11
actor jet,-1,-1,11
actor ozai,-1,-1,11
actor sokka,-1,-1,11
actor toph,-1,-1,11
actor zuko,-1,-1,11
actress aang,-1,-1,11
actress azula,-1,-1,11
actress katara,-1,-1,11
actress yue,-1,-1,11
air nomad boy #1,8,-1,-1
air nomad boy #2,8,-1,-1
appa,-1,-1,0
arnook,0,-1,-1
audience,-1,0,-1
aunt wu,1,-1,-1
azula,-1,1,2
azulon,-1,1,-1
baboon spirit,0,-1,-1
banished servant,-1,-1,2
bato,0,11,3
big bad hippo,-1,-1,0
blue dragon,-1,1,-1
blue spirit,-1,-1,11
bodyguard #2,-1,-1,7
bogyguard #2,-1,-1,7
boy's mother,-1,1,-1
brainwasher,-1,1,-1
broadsword man,-1,1,-1
bujing,1,-1,-1
bully guard,-1,-1,7
bumi,0,1,1
cabbage merchant,4,0,-1
calm man,0,-1,-1
canyon guide,6,-1,-1
captain,1,1,-1
captured agent,-1,0,-1
chamberlain,0,-1,-1
chan,-1,-1,2
chey,4,-1,-1
chit sang,-1,-1,7
chong,-1,0,-1
citizen,4,-1,-1
class,-1,-1,0
colonists,0,-1,-1
crowd,-1,-1,11
customer,-1,1,-1
dai li agent,-1,2,-1
dealer,-1,-1,0
ding,-1,-1,0
dock,-1,-1,10
dock/xu,-1,-1,10
door guard,-1,-1,0
due,-1,7,3
earth kingdom soldier,-1,1,-1
earthbender captain,1,-1,-1
earthbender guard,-1,0,-1
elder soldier,1,-1,-1
ember island teenager #1,-1,-1,2
ember island teenager #2,-1,-1,2
ember island teenager #3,-1,-1,2
engineer,1,-1,-1
eye-patch soldier,0,-1,-1
fangirls,3,-1,-1
farmer,9,-1,-1
fat,-1,-1,0
female guard,-1,-1,2
female prisoner,-1,-1,0
female student #1,-1,-1,9
fire nation kids,5,-1,-1
fire nation man,-1,10,0
fire nation soldier,1,-1,3
fire nation watchman #1,-1,-1,4
fire nation watchman #2,-1,-1,4
fire navy officer,-1,-1,3
fire sage,-1,-1,6
firebender,0,-1,-1
firebenders,1,-1,-1
fisherman,3,-1,-1
fisherman's wife,3,-1,-1
florist,-1,12,-1
fong,-1,0,-1
fung,-1,1,-1
gan jin leader,6,-1,-1
gan jin man,6,-1,-1
gan jin tribesman,6,-1,-1
gansu,-1,1,-1
gate guard,0,-1,-1
general how,-1,0,-1
general sung,-1,0,-1
ghashiun,-1,10,-1
girl,0,-1,-1
girl with umbrella,-1,0,-1
gondola guard,-1,-1,7
gondola guard #2,-1,-1,7
gondola guard #4,-1,-1,2
gow,-1,1,-1
great fire sage,1,-1,-1
guard,4,4,3
guard captain,1,-1,-1
guard one,-1,0,-1
guard two,-1,0,-1
guest,-1,0,-1
gyatso,2,-1,6
hahn,0,-1,-1
hakoda,0,11,0
ham ghao,-1,-1,2
hama,-1,-1,0
haru,4,-1,3
haru's mother,4,-1,-1
head of dai li,-1,-1,2
head of the dai li,-1,0,-1
headmaster,-1,-1,9
herbalist,1,-1,-1
hide,-1,-1,9
how,-1,2,-1
huge round angry face,-1,1,-1
huu,-1,0,3
iroh,1,1,2
jee,1,-1,-1
jeong jeong,0,-1,1
jet,0,1,-1
jin,-1,1,-1
joo dee,-1,0,-1
joo dee replacement,-1,0,-1
joo dees,-1,1,-1
june,1,-1,2
kanna,0,-1,-1
katara,0,0,0
kenji,-1,4,-1
koh,0,-1,-1
koko,3,0,-1
kuei,-1,0,-1
kwan,-1,-1,0
kya,-1,-1,8
kyoshi,-1,-1,0
kyoshi warrior #1,-1,4,-1
kyoshi warrior #2,-1,1,-1
ladies,-1,6,-1
lady on stage,-1,0,-1
lao,-1,12,-1
lee,-1,1,-1
li,1,1,2
lieutenant jee,1,-1,-1
lily,-1,0,-1
lin yee,4,-1,-1
lion turtle,-1,-1,0
little boy,-1,-1,10
little girl,3,-1,-1
lo,-1,1,2
long feng,-1,0,-1
longshot,-1,1,-1
macmu-ling,-1,6,-1
mai,-1,1,2
male guard,-1,-1,2
male guard #2,-1,-1,2
male prisoner #1,-1,-1,0
male prisoner #2,-1,-1,0
male soldier,-1,-1,0
male soldier #1,-1,-1,9
male student,-1,0,-1
male student #1,-1,-1,9
male student #2,-1,0,9
malu,5,-1,-1
man,0,12,-1
man in the bar,-1,1,-1
man with red shoes,0,-1,-1
mask dealer,0,-1,-1
mechanist,0,-1,3
meng,0,-1,-1
merchant,-1,0,-1
merchant #1,-1,10,-1
merchant #2,-1,10,-1
merchant woman,7,-1,-1
messenger,0,-1,-1
michi,-1,4,-1
ming,-1,-1,2
moku,-1,0,-1
momo,-1,-1,0
mongke,-1,1,-1
mother superior,0,-1,-1
mung,-1,-1,10
music teacher,-1,-1,9
officer,1,-1,-1
oh,1,-1,-1
old fire nation civilian,0,-1,-1
old man,4,1,-1
old sweepy,-1,1,-1
old wanderer,0,-1,-1
old woman,-1,1,-1
on ji,-1,-1,9
oracle,-1,0,-1
oyaji,0,0,-1
ozai,1,1,2
pakku,0,0,1
palace woman,-1,0,-1
pao,-1,1,-1
pasang,2,-1,-1
pathik,-1,0,-1
peasant girl,-1,1,-1
pet store owner,-1,0,-1
piandao,-1,-1,1
ping,9,-1,-1
pipsqueak,0,-1,3
pirate,0,-1,-1
pirate captain,1,-1,-1
poi,9,-1,-1
pong,-1,0,-1
poppy,-1,12,-1
princess yue,-1,0,-1
prisoner,4,-1,-1
prisoner #2,-1,9,-1
puppet fire lord,5,-1,-1
qin,0,1,0
quon,-1,1,-1
red dragon,-1,1,-1
resistance fighter #1,-1,5,-1
resistance fighter #2,-1,5,-1
roku,1,0,6
royal messenger,-1,1,-1
ruon-jian,-1,-1,2
sandbender #1,-1,10,-1
sandbender #2,-1,10,-1
scary prisoner,-1,9,-1
second engineer,-1,1,-1
sela,-1,1,-1
senlin village leader,0,-1,-1
sensitive ruffian,-1,9,-1
servant,-1,12,2
servant #1,-1,-1,2
sha-mo,-1,10,-1
shinu,1,-1,2
shoji,-1,-1,9
shop keeper,0,-1,-1
shop owner,-1,1,5
shopkeeper,7,-1,-1
shuzumu,-1,1,-1
shyu,1,-1,-1
smellerbee,0,1,-1
sokka,0,0,0
soldier,1,0,-1
song,-1,1,-1
song's mother,-1,1,-1
southern raiders commander,-1,-1,2
southern water tribe boy,0,-1,-1
southern water tribe girl,0,-1,-1
sozin,-1,-1,6
star,-1,3,-1
store owner,-1,1,-1
storyteller,0,-1,-1
strange man,0,-1,-1
student,-1,-1,9
suki,0,4,0
sun warrior chief,-1,-1,2
ta min,-1,-1,6
tashi,2,-1,-1
tax collector,4,-1,-1
tea seller,-1,1,-1
teo,0,-1,3
terra team member,-1,0,-1
than,-1,0,-1
the boulder,-1,12,0
the duke,0,-1,3
the hippo,-1,12,-1
third girl,-1,3,-1
tho,-1,7,3
ticket lady,-1,0,-1
ticket woman,-1,1,-1
tong,-1,0,-1
toph,-1,0,0
tough prisoner,-1,-1,0
town authority,-1,-1,0
trainer,-1,10,-1
tribal man,0,-1,-1
ty lee,-1,1,2
tycho,-1,1,-1
tyro,4,-1,3
ukano,-1,4,-1
university student,-1,0,-1
unnamed fire nation boy,-1,10,-1
ursa,-1,1,2
village girl,0,-1,-1
village woman,0,-1,-1
villager,-1,8,5
villager #1,-1,-1,10
villager #2,-1,8,10
villager #3,-1,8,10
villager #4,-1,-1,10
waiter,-1,1,-1
wan shi tong,-1,0,-1
warden,4,-1,7
warden poon,-1,-1,2
warrior,-1,11,-1
weapons store shopkeeper,-1,-1,0
woman,0,-1,-1
wu,9,-1,-1
xin fu,-1,12,-1
xu,-1,-1,0
yangchen,-1,-1,0
ying,-1,0,-1
yon rha,-1,-1,8
yon rha's mother,-1,-1,8
young boy,-1,-1,2
yu,-1,12,-1
yue,0,-1,6
yugoda,0,-1,-1
yung,-1,5,-1
zei,-1,0,-1
zhang leader,6,-1,-1
zhao,1,-1,-1
zuko,1,1,2
